Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
9845864,25,4.84,-1.76,0.09
9906912,25,4.84,-1.76,-0.10
9967984,25,4.84,-1.76,0.01
10029028,25,5.45,-1.76,-0.00
10090128,25,5.45,-1.76,-0.05
10151192,25,5.45,-1.76,-0.07
10212240,25,5.45,-1.76,-0.01
10273304,25,5.45,-1.76,-0.16
10334356,25,5.45,-1.76,0.04
10395400,25,5.97,-1.76,0.02
10456464,25,5.97,-1.76,-0.16
10517536,25,5.97,-1.76,0.06
10578572,25,5.97,-1.76,0.03
10639632,25,5.97,-1.76,-0.13
10700688,25,5.97,-1.76,0.01
10761736,25,5.97,-1.76,-0.14
10822796,25,5.97,-1.76,-0.00
10883836,25,6.55,-1.76,-0.01
10944884,25,6.55,-1.76,-0.08
11005920,25,6.55,-1.76,-0.10
11066980,25,6.55,-1.76,-0.12
11128048,25,6.55,-1.76,-0.05
11189096,25,6.55,-1.76,0.03
11250148,25,6.55,-1.76,0.08
11311204,25,6.55,-1.76,0.06
11372248,25,7.08,-1.76,-0.06
11433324,25,7.08,-1.76,0.07
11494360,25,7.08,-1.76,-0.03
11555420,25,7.08,-1.76,-0.16
11616472,25,7.08,-1.76,-0.05
11677512,25,7.08,-1.76,-0.03
11738556,25,7.08,-1.76,-0.07
11799596,25,7.08,-1.76,-0.06
11860632,25,7.08,-1.76,-0.00
11921676,25,7.08,-1.76,-0.04
11982720,25,7.63,-1.76,0.03
12043760,25,7.63,-1.76,-0.06
12104816,25,7.63,-1.76,-0.10
12165844,25,7.63,-1.76,0.11
12226884,25,7.63,-1.76,-0.04
12287936,25,7.63,-1.76,-0.06
12348984,25,8.13,-1.76,-0.02
12410020,25,8.13,-1.76,0.02
12471048,25,8.13,-1.76,0.00
12532092,25,8.13,-1.76,0.05
12593132,25,8.13,-1.76,0.03
12654180,25,8.13,-1.76,0.09
12715232,25,8.13,-1.76,-0.04
12776272,25,8.13,-1.76,-0.00
12837320,25,8.64,-1.76,-0.07
12898368,25,8.64,-1.76,-0.01
12959404,25,8.64,-1.76,-0.12
13020448,25,8.64,-1.76,0.06
13081476,25,8.64,-1.76,-0.13
13142532,25,8.64,-1.76,-0.17
13203584,25,9.17,-1.76,-0.10
13264620,25,9.17,-1.76,-0.07
13325668,25,9.17,-1.76,-0.07
13386712,25,9.17,-1.76,-0.18
13447780,25,9.17,-1.76,-0.18
13508844,25,9.17,-1.76,0.02
13569872,25,9.17,-1.76,-0.13
13630924,25,9.17,-1.76,-0.04
13691960,25,9.70,-1.76,-0.11
13753012,25,9.70,-1.76,0.05
13814056,25,9.70,-1.76,-0.12
13875100,25,9.70,-1.76,-0.14
13936152,25,9.70,-1.76,-0.08
13997196,25,9.70,-1.76,-0.11
14058224,25,9.70,-1.76,-0.16
14119260,25,10.29,-1.76,0.00
14180260,25,10.29,-1.76,-0.18
14241320,25,10.29,-1.76,0.02
14302352,25,10.29,-1.76,-0.03
14363396,25,10.29,-1.76,-0.20
14424452,25,10.29,-1.76,-0.06
14485480,25,10.29,-1.76,-0.07
14546524,25,10.85,-1.76,-0.09
14607572,25,10.85,-1.76,0.16
14668604,25,10.85,-1.76,-0.10
14729660,25,10.85,-1.76,0.02
14790692,25,10.85,-1.76,-0.12
14851736,25,10.85,-1.76,-0.12
14912788,25,10.85,-1.76,-0.03
14973820,25,11.40,-1.76,-0.09
15034872,25,11.40,-1.76,-0.04
15095920,25,11.40,-1.76,-0.09
15156952,25,11.40,-1.76,-0.10
15218000,25,11.40,-1.76,-0.01
15279032,25,11.40,-1.76,-0.10
15340072,25,11.40,-1.76,-0.02
15401104,25,11.40,-1.76,-0.12
15462140,25,12.02,-1.76,0.09
15523176,25,12.02,-1.76,-0.11
15584224,25,12.02,-1.76,-0.15
15645272,25,12.02,-1.76,-0.06
15706324,25,12.02,-1.76,-0.03
15767356,25,12.02,-1.76,-0.02
15828408,25,12.02,-1.76,0.05
15889448,25,12.02,-1.76,-0.13
15950504,25,12.55,-1.76,-0.13
16011576,25,12.55,-1.76,-0.02
16072624,25,12.55,-1.76,-0.22
16133688,25,12.55,-1.76,-0.30
16194744,25,12.55,-1.76,-0.17
16255800,25,12.55,-1.76,-0.03
16316864,25,13.05,-1.76,0.01
16377912,25,13.05,-1.76,0.01
16438972,25,13.05,-1.76,0.13
16500028,25,13.05,-1.76,0.16
16561080,25,13.05,-1.76,0.25
16622140,25,13.05,-1.76,0.33
16683204,25,13.05,-1.76,0.52
16744256,25,13.05,-1.76,0.43
16805320,25,13.05,-1.76,0.51
16866376,25,13.05,-1.76,0.56
16927432,25,13.05,-1.76,0.56
16988496,25,13.05,-1.76,0.80
17049544,25,13.05,-1.76,0.67
17110600,25,13.05,-1.76,0.85
17171660,25,13.05,-1.76,0.84
17232700,25,13.05,-1.76,0.85
17293768,25,13.05,-1.76,0.97
17354816,25,13.05,-1.76,1.11
17415860,25,13.05,-1.76,0.93
17476932,25,13.05,-1.76,1.22
17537980,25,13.05,-1.76,1.16
17599044,25,13.05,-1.76,1.19
17660104,25,13.05,-1.76,1.48
17721156,25,13.05,-1.76,1.51
17782224,25,13.05,-1.76,1.31
17843280,25,13.05,-1.76,1.49
17904332,25,13.56,-1.76,1.59
17965400,25,13.56,-1.76,1.61
18026448,25,13.56,-1.76,1.58
18087508,25,13.56,-1.76,1.60
18148564,25,13.56,-1.76,1.68
18209616,25,13.56,-1.76,1.87
18270684,25,13.56,-1.76,1.84
18331740,25,13.56,-1.76,1.92
18392780,25,13.56,-1.76,2.02
18453856,25,13.56,-1.76,2.13
18514904,25,13.56,-1.76,2.02
18575956,25,13.56,-1.76,2.10
18637028,25,13.56,-1.76,2.16
18698076,25,13.56,-1.76,2.19
18759140,25,13.56,-1.76,2.27
18820196,25,13.56,-1.76,2.25
18881248,25,13.56,-1.76,2.37
18942316,25,13.56,-1.76,2.27
19003372,25,13.56,-1.76,2.45
19064428,25,13.56,-1.76,2.46
19125496,25,13.56,-1.76,2.40
19186552,25,13.56,-1.76,2.58
19247616,25,13.56,-1.76,2.63
19308672,25,13.56,-1.76,2.76
19369720,25,13.56,-1.76,2.79
19430788,25,13.56,-1.76,2.59
19491828,25,13.56,-1.76,2.87
19552888,25,14.15,-1.76,2.91
19613936,25,14.15,-1.76,2.94
19674992,25,14.15,-1.76,2.88
19736052,25,14.15,-1.76,3.05
19797092,25,14.15,-1.76,3.02
19858120,25,14.15,-1.76,3.21
19919172,25,14.15,-1.76,3.06
19980208,25,14.15,-1.76,3.02
20041252,25,14.15,-1.76,3.06
20102296,25,14.15,-1.76,3.30
20163328,25,14.15,-1.76,3.25
20224380,25,14.15,-1.76,3.25
20285412,25,14.15,-1.76,3.30
20346452,25,14.15,-1.76,3.60
20407520,25,14.15,-1.76,3.41
20468548,25,14.15,-1.76,3.52
20529600,25,14.15,-1.76,3.48
20590644,25,14.15,-1.76,3.52
20651692,25,14.15,-1.76,3.62
20712756,25,14.15,-1.76,3.72
20773812,25,14.15,-1.76,3.62
20834872,25,14.15,-1.76,3.63
20895924,25,14.15,-1.76,3.84
20956984,25,14.15,-1.76,3.96
21018052,25,14.15,-1.76,3.92
21079100,25,14.15,-1.76,3.90
21140152,25,14.15,-1.76,4.03
21201196,25,14.15,-1.76,3.99
21262244,25,14.15,-1.76,4.07
21323284,25,14.15,-1.76,4.02
21384328,25,14.15,-1.76,4.23
21445368,25,14.15,-1.76,4.22
21506412,25,14.15,-1.76,4.07
21567456,25,14.15,-1.76,4.29
21628504,25,14.69,-1.76,4.21
