Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
10331908,25,2.86,-2.66,6.04
10392956,25,2.86,-2.66,5.88
10454000,25,2.86,-2.66,6.04
10515028,25,2.86,-2.66,5.96
10576084,25,2.86,-2.66,6.00
10637128,25,2.86,-2.66,6.26
10698168,25,2.86,-2.66,5.89
10759212,25,2.86,-2.66,6.18
10820236,25,2.86,-2.66,6.14
10881288,25,2.86,-2.66,6.23
10942320,25,2.86,-2.66,6.14
11003360,25,2.86,-2.66,6.24
11064400,25,2.86,-2.66,6.31
11125440,25,2.86,-2.66,6.27
11186484,25,2.86,-2.66,6.31
11247520,25,2.86,-2.66,6.42
11308560,25,2.86,-2.66,6.44
11369604,25,2.86,-2.66,6.58
11430640,25,2.86,-2.66,6.44
11491680,25,3.42,-2.66,6.65
11552700,25,3.42,-2.66,6.55
11613736,25,3.42,-2.66,6.68
11674756,25,3.42,-2.66,6.70
11735784,25,3.42,-2.66,6.75
11796844,25,3.42,-2.66,6.88
11857876,25,3.42,-2.66,6.78
11918932,25,3.42,-2.66,6.67
11979968,25,3.42,-2.66,6.95
12041004,25,3.42,-2.11,6.87
12102044,25,3.42,-2.11,6.96
12163088,25,3.42,-2.11,6.73
12224116,25,3.42,-2.11,7.03
12285164,25,3.42,-2.11,6.98
12346204,25,3.42,-2.11,6.98
12407256,25,3.42,-2.11,7.09
12468300,25,3.42,-2.11,7.11
12529332,25,3.42,-2.11,7.02
12590388,25,3.42,-2.11,7.17
12651432,25,3.42,-2.11,7.18
12712488,25,3.42,-2.11,7.25
12773528,25,3.42,-2.11,7.28
12834568,25,3.42,-2.11,7.37
12895612,25,3.42,-2.11,7.29
12956652,25,3.42,-2.11,7.34
13017688,25,3.42,-2.11,7.46
13078736,25,3.42,-2.11,7.50
13139768,25,3.42,-2.11,7.43
13200808,25,3.42,-2.11,7.25
13261856,25,3.42,-2.11,7.54
13322896,25,3.42,-2.11,7.57
13383928,25,3.42,-2.11,7.45
13444948,25,3.42,-2.11,7.65
13505988,25,3.42,-2.11,7.63
13567012,25,3.42,-2.11,7.78
13628036,25,3.42,-2.11,7.63
13689048,25,3.42,-2.11,7.75
13750064,25,3.94,-2.11,7.60
13811092,25,3.94,-2.11,7.73
13872100,25,3.94,-2.11,7.83
13933124,25,3.94,-2.11,7.78
13994136,25,3.94,-2.11,7.88
14055144,25,3.94,-2.11,7.88
14116168,25,3.94,-2.11,7.95
14177188,25,3.94,-2.11,7.90
14238224,25,3.94,-2.11,7.91
14299260,25,3.94,-2.11,7.93
